symbol,date,open,high,low,close,volume,wap,barcount
NVDA,20250505 09:30:00 US/Eastern,112.91,113.59,112.76,113.54,2401083,113.09,4744
NVDA,20250505 09:31:00 US/Eastern,113.54,113.8,113.31,113.75,949670,113.538,3765
NVDA,20250505 09:32:00 US/Eastern,113.76,113.97,113.51,113.54,796849,113.778,2938
NVDA,20250505 09:33:00 US/Eastern,113.53,113.76,113.44,113.76,633369,113.592,2190
NVDA,20250505 09:34:00 US/Eastern,113.76,113.94,113.57,113.94,727096,113.801,2596
NVDA,20250505 09:35:00 US/Eastern,113.92,114.08,113.86,113.97,775780,113.983,2518
NVDA,20250505 09:36:00 US/Eastern,113.96,113.97,113.72,113.86,548104,113.866,2093
NVDA,20250505 09:37:00 US/Eastern,113.88,114.18,113.84,114.12,744247,114.051,2607
NVDA,20250505 09:38:00 US/Eastern,114.1,114.17,113.96,114.1,546297,114.074,1838
NVDA,20250505 09:39:00 US/Eastern,114.1,114.11,113.7,113.71,540300,113.85,1982
NVDA,20250505 09:40:00 US/Eastern,113.72,113.85,113.57,113.61,590991,113.67,1918
NVDA,20250505 09:41:00 US/Eastern,113.62,113.8,113.6,113.66,419428,113.705,1574
NVDA,20250505 09:42:00 US/Eastern,113.66,113.7,113.49,113.69,475163,113.601,1719
NVDA,20250505 09:43:00 US/Eastern,113.7,113.96,113.68,113.92,505371,113.85,1949
NVDA,20250505 09:44:00 US/Eastern,113.92,114.02,113.85,113.88,477750,113.943,1528
NVDA,20250505 09:45:00 US/Eastern,113.88,114.15,113.75,114.08,517555,114.009,1664
NVDA,20250505 09:46:00 US/Eastern,114.07,114.29,114.06,114.25,552697,114.189,1900
NVDA,20250505 09:47:00 US/Eastern,114.25,114.38,114.1,114.22,656954,114.226,2276
NVDA,20250505 09:48:00 US/Eastern,114.24,114.34,114.14,114.28,432587,114.236,1730
NVDA,20250505 09:49:00 US/Eastern,114.27,114.28,114.05,114.06,379208,114.162,1338
NVDA,20250505 09:50:00 US/Eastern,114.07,114.1,113.81,113.82,483808,113.946,1590
NVDA,20250505 09:51:00 US/Eastern,113.82,113.91,113.72,113.79,483387,113.794,1555
NVDA,20250505 09:52:00 US/Eastern,113.78,113.9,113.69,113.87,443946,113.768,1491
NVDA,20250505 09:53:00 US/Eastern,113.87,113.88,113.64,113.79,364069,113.722,1194
